['ticks_us','SGP30_ETOH_RAW', 'RH', 'T', 'SGP30_TVOC', 'SGP30_H2_RAW', 'mac', 'payload_version', 'SGP30_CO2EQ']
263934148 17521 30.3 32.0 5 13122 240ac48df9dc 99 427
264934570 17524 30.3 32.0 9 13117 240ac48df9dc 99 415
265934594 17519 30.3 32.0 9 13115 240ac48df9dc 99 420
266934311 17525 30.3 31.9 11 13118 240ac48df9dc 99 415
267934334 17524 30.3 31.9 11 13121 240ac48df9dc 99 413
268934230 17523 30.3 32.0 3 13124 240ac48df9dc 99 415
269934589 17527 30.3 31.9 10 13120 240ac48df9dc 99 415
270934585 17531 30.3 31.9 3 13126 240ac48df9dc 99 401
271934537 17527 30.3 31.9 7 13130 240ac48df9dc 99 405
272934578 17524 30.3 31.9 9 13123 240ac48df9dc 99 415
273934677 17531 30.3 31.9 13 13123 240ac48df9dc 99 401
274934585 17528 30.3 31.9 5 13129 240ac48df9dc 99 403
275934589 17529 30.4 31.9 0 13120 240ac48df9dc 99 408
276934300 17525 30.4 31.9 3 13120 240ac48df9dc 99 420
277934597 17526 30.4 31.9 5 13119 240ac48df9dc 99 414
278934309 17528 30.5 31.9 7 13123 240ac48df9dc 99 417
279934375 17530 30.5 31.8 1 13121 240ac48df9dc 99 420
280934505 17531 30.6 31.8 4 13120 240ac48df9dc 99 420
281934589 17524 30.6 31.8 8 13115 240ac48df9dc 99 424
282934486 17524 30.6 31.9 0 13118 240ac48df9dc 99 402
283934677 17527 30.6 31.8 11 13113 240ac48df9dc 99 420
284934569 17524 30.5 31.8 12 13121 240ac48df9dc 99 415
285934585 17523 30.5 31.8 2 13121 240ac48df9dc 99 409
286934391 17528 30.5 31.8 7 13120 240ac48df9dc 99 408
287934255 17526 30.4 32.0 8 13120 240ac48df9dc 99 411
288934318 17528 30.4 31.8 6 13123 240ac48df9dc 99 405
289934581 17523 30.8 31.8 8 13100 240ac48df9dc 99 444
290934650 17522 31.1 31.7 17 13101 240ac48df9dc 99 456
291934677 17516 31.3 31.7 11 13099 240ac48df9dc 99 444
292934521 17517 31.5 31.7 8 13102 240ac48df9dc 99 436
293934677 17509 31.9 31.7 26 13091 240ac48df9dc 99 462
294934573 17504 32.5 31.8 24 13092 240ac48df9dc 99 477
295934646 17501 32.9 31.8 30 13081 240ac48df9dc 99 474
296934672 17511 32.7 31.8 27 13095 240ac48df9dc 99 458
297934779 17508 32.20000000000001 31.9 15 13103 240ac48df9dc 99 457
298934391 17500 31.8 31.9 29 13058 240ac48df9dc 99 526
299934672 17484 32.4 32.0 37 13060 240ac48df9dc 99 537
300934367 17486 33.0 32.0 41 13050 240ac48df9dc 99 544
301934529 17496 33.2 32.0 39 13038 240ac48df9dc 99 554
302934569 17479 33.6 32.0 67 12939 240ac48df9dc 99 743
303934585 17464 33.5 32.0 65 12972 240ac48df9dc 99 687
304934593 17469 32.9 31.9 54 13015 240ac48df9dc 99 610
305934501 17479 32.3 31.9 47 13048 240ac48df9dc 99 550
306934650 17473 31.9 31.9 59 13037 240ac48df9dc 99 585
307934601 17475 31.6 31.9 49 13014 240ac48df9dc 99 598
308934490 17472 31.6 31.9 56 13046 240ac48df9dc 99 537
309934501 17478 31.4 31.9 46 13061 240ac48df9dc 99 512
310934646 17463 31.6 31.9 62 12982 240ac48df9dc 99 662
311934593 17467 31.5 31.8 62 13018 240ac48df9dc 99 602
312934650 17473 31.8 31.8 56 13046 240ac48df9dc 99 543
313934408 17482 31.7 31.8 50 13068 240ac48df9dc 99 495
314934577 17486 31.6 31.8 46 13080 240ac48df9dc 99 484
315934395 17482 31.4 31.8 44 13083 240ac48df9dc 99 475
316934654 17486 31.3 31.9 41 13061 240ac48df9dc 99 517
317934428 17475 31.5 31.9 58 12988 240ac48df9dc 99 650
318934645 17475 31.6 31.9 61 13015 240ac48df9dc 99 601
319934379 17480 31.6 32.0 48 13056 240ac48df9dc 99 520
320934584 17488 31.5 32.0 42 13077 240ac48df9dc 99 481
321934588 17495 31.3 32.0 39 13091 240ac48df9dc 99 451
322934584 17505 31.1 32.1 31 13101 240ac48df9dc 99 432
323934524 17505 30.8 32.1 25 13105 240ac48df9dc 99 428
324934576 17510 30.7 32.20000000000001 25 13113 240ac48df9dc 99 420
325934588 17513 30.7 32.1 16 13112 240ac48df9dc 99 426
326875125 17507 30.8 32.20000000000001 -1 13103 240ac48df9dc 99 -1
327948279 17507 30.7 32.20000000000001 0 13101 240ac48df9dc 99 400
328934736 17506 30.7 32.20000000000001 0 13095 240ac48df9dc 99 400
329934778 17515 30.7 32.20000000000001 0 13098 240ac48df9dc 99 400
330934568 17509 30.7 32.3 0 13097 240ac48df9dc 99 400
331934681 17503 30.6 32.20000000000001 0 13070 240ac48df9dc 99 400
332934750 17505 30.5 32.20000000000001 0 13062 240ac48df9dc 99 400
333934394 17503 30.4 32.3 0 13072 240ac48df9dc 99 400
334934568 17502 30.4 32.3 0 13063 240ac48df9dc 99 400
335934524 17497 30.4 32.3 0 13068 240ac48df9dc 99 400
336934516 17497 30.4 32.3 0 13074 240ac48df9dc 99 400
337934580 17499 30.5 32.3 0 13068 240ac48df9dc 99 400
338934374 17501 30.4 32.3 0 13074 240ac48df9dc 99 400
339934307 17499 30.5 32.3 0 13066 240ac48df9dc 99 400
340934671 17486 30.5 32.20000000000001 0 13066 240ac48df9dc 99 400
341934580 17496 30.4 32.3 0 13069 240ac48df9dc 99 400
342934477 17497 30.5 32.3 0 13066 240ac48df9dc 99 400
343934386 17494 30.5 32.3 0 13074 240ac48df9dc 99 400
344934580 17501 30.4 32.3 0 13085 240ac48df9dc 99 400
345934588 17505 30.2 32.3 0 13100 240ac48df9dc 99 400
346934365 17506 30.1 32.3 0 13105 240ac48df9dc 99 400
347934588 17510 30.2 32.3 0 13100 240ac48df9dc 99 407
348934241 17509 30.2 32.3 0 13096 240ac48df9dc 99 413
349934394 17505 30.2 32.4 6 13091 240ac48df9dc 99 424
350934568 17504 30.2 32.3 6 13091 240ac48df9dc 99 426
351934592 17511 30.1 32.4 4 13098 240ac48df9dc 99 404
352934520 17514 30.0 32.4 5 13097 240ac48df9dc 99 414
353934588 17516 29.8 32.4 0 13107 240ac48df9dc 99 400
354934249 17520 29.7 32.4 3 13101 240ac48df9dc 99 403
355934407 17511 29.6 32.4 1 13102 240ac48df9dc 99 408
356934070 17506 29.6 32.4 7 13095 240ac48df9dc 99 431
357934520 17496 29.8 32.4 18 13001 240ac48df9dc 99 600
358934625 17485 30.0 32.3 40 12899 240ac48df9dc 99 790
359934564 17470 30.0 32.4 48 12907 240ac48df9dc 99 764
360934665 17465 29.9 32.4 47 12936 240ac48df9dc 99 704
361934345 17466 30.0 32.4 42 12993 240ac48df9dc 99 615
362934604 17470 30.0 32.4 34 13025 240ac48df9dc 99 543
363934357 17481 30.0 32.4 34 13055 240ac48df9dc 99 492
364934390 17479 29.8 32.4 37 13074 240ac48df9dc 99 463
365934672 17485 29.8 32.3 27 13082 240ac48df9dc 99 443
366934568 17489 29.8 32.4 20 13087 240ac48df9dc 99 433
367934694 17495 29.8 32.3 26 13092 240ac48df9dc 99 434
368933994 17494 29.8 32.3 18 13088 240ac48df9dc 99 424
369934484 17498 29.8 32.4 16 13089 240ac48df9dc 99 423
370934488 17515 29.6 32.3 0 13106 240ac48df9dc 99 400
371934583 17512 29.1 32.3 0 13120 240ac48df9dc 99 400
372934328 17511 28.9 32.3 1 13127 240ac48df9dc 99 400
373934402 17520 28.8 32.3 0 13116 240ac48df9dc 99 415
374934488 17527 28.8 32.3 2 13121 240ac48df9dc 99 408
375934724 17527 28.8 32.3 5 13124 240ac48df9dc 99 410
376934576 17530 28.8 32.3 0 13121 240ac48df9dc 99 406
377934583 17529 28.8 32.20000000000001 8 13109 240ac48df9dc 99 433
378934793 17530 28.9 32.20000000000001 1 13112 240ac48df9dc 99 435
379934575 17531 29.0 32.20000000000001 0 13115 240ac48df9dc 99 417
380934311 17527 29.2 32.20000000000001 7 13024 240ac48df9dc 99 590
381934773 17512 29.5 32.20000000000001 20 12991 240ac48df9dc 99 646
382934841 17517 29.5 32.20000000000001 14 13056 240ac48df9dc 99 523
383934707 17526 29.2 32.20000000000001 2 13086 240ac48df9dc 99 467
384934652 17523 29.2 32.20000000000001 9 13074 240ac48df9dc 99 483
385934591 17521 29.2 32.20000000000001 13 13064 240ac48df9dc 99 516
386934777 17526 29.3 32.20000000000001 14 13044 240ac48df9dc 99 553
387934849 17505 29.6 32.20000000000001 22 12992 240ac48df9dc 99 662
388934821 17504 29.8 32.20000000000001 25 12984 240ac48df9dc 99 663
389934849 17502 29.8 32.20000000000001 23 13002 240ac48df9dc 99 608
390934507 17503 29.7 32.20000000000001 26 13045 240ac48df9dc 99 547
391934595 17512 29.4 32.1 22 13068 240ac48df9dc 99 500
392934664 17508 29.3 32.1 22 13082 240ac48df9dc 99 474
393934393 17510 29.3 32.1 15 13061 240ac48df9dc 99 505
394934310 17508 29.5 32.1 17 13029 240ac48df9dc 99 574
395934377 17507 29.5 32.1 25 13048 240ac48df9dc 99 534
396934535 17508 29.3 32.1 14 13088 240ac48df9dc 99 462
397934587 17512 29.1 32.1 7 13105 240ac48df9dc 99 424
398934499 17518 29.3 32.1 12 13110 240ac48df9dc 99 422
399934797 17519 29.3 32.20000000000001 5 13116 240ac48df9dc 99 404
400934753 17522 29.3 32.20000000000001 6 13104 240ac48df9dc 99 424
401934782 17526 29.2 32.20000000000001 1 13103 240ac48df9dc 99 422
402934769 17524 29.0 32.20000000000001 9 13114 240ac48df9dc 99 420
403934150 17530 28.9 32.20000000000001 0 13116 240ac48df9dc 99 404
